,Note,Count
0,F#M,542
1,F#m/C#,159
2,F#m/A,135
3,EM/B,265
4,C#7,133
5,C#sus2,38
6,F#M7,9
7,C#sus4,3
8,Bo/D,45
9,AM7/G#,107
10,A+/F,13
11,Fm,141
12,F#m,408
13,Ebm,227
14,A+,6
15,EM,1499
16,DM,703
17,C#M,602
18,F#sus2,115
19,Bm/D,103
20,A+/C#,5
21,F#M/C#,18
22,AM/C#,34
23,Bsus2/C#,49
24,Do,41
25,G#o/B,112
26,G#m,406
27,Csus2,71
28,Csus2/D,30
29,Ebm7/F#,53
30,G#M,644
31,Gsus2/A,31
32,C#m/G#,240
33,AM7,58
34,Gm/Bb,73
35,C#m,421
36,C#m/E,341
37,Bbo/E,54
38,E+,5
39,EM/G#,292
40,C+/G#,120
41,G#7/Eb,4
42,EbM,313
43,C#7/B,10
44,Eb+/B,219
45,Bo,125
46,BM,361
47,Fo/B,13
48,A+/B,4
49,C#+/A,508
50,AM/E,695
51,DM7,45
52,BM/Eb,31
53,C#M/F,46
54,C#+/F,34
55,C#m7/G#,38
56,C#7/G#,45
57,A+/G#,41
58,AM,2090
59,E7,117
60,DM/F#,201
61,Do/G#,110
62,Asus2,232
63,Esus4/B,2
64,Bsus2,46
65,Co7,20
66,C#M7/C,28
67,F#sus4/C#,48
68,F#+,38
69,Bm,283
70,DM/A,378
71,D7,55
72,GM,174
73,DM7/C#,17
74,FM,633
75,Bbm/C#,45
76,Go/C#,17
77,FM/C,70
78,BbM,341
79,Ebsus2,85
80,CM,605
81,BbM/F,94
82,EbM/Bb,21
83,Bbm/F,63
84,Go/F,4
85,F7,30
86,Bbm,44
87,Eb7,40
88,Ebo,51
89,G#M7/Eb,13
90,G#M7/G,23
91,G#M/Eb,101
92,C#sus2/Eb,12
93,Fm7/Eb,17
94,G#+,6
95,C+,37
96,C#o/Eb,8
97,G#m/Eb,46
98,F#M7/C#,8
99,Bsus4,9
100,Bm/F#,57
101,Asus2/B,25
102,F#m7/E,170
103,C#M/E,13
104,FM/A,63
105,C#7/F,15
106,C#M/G#,81
107,G#m/A,4
108,G#o/C#,17
109,Co,44
110,Ebm/F#,80
111,D7/E,1
112,GM7,11
113,GM7/F#,2
114,Fm/G#,42
115,Cm/Eb,101
116,Ebm7,14
117,Ebsus2/F,18
118,F#M7/F,6
119,C#+/Eb,6
120,FM7/E,183
121,AM/B,14
122,C#+,248
123,G#o/D,45
124,C#sus4/G,1
125,F#o/A,3
126,G#o/A,13
127,F#m/G#,10
128,F#M/B,2
129,Esus2,124
130,Do/E,91
131,Ao/Eb,6
132,F+/E,6
133,Fo/G#,10
134,Dsus2,202
135,BM7/Bb,27
136,CM7/B,33
137,Ebo/C#,7
138,Fo,23
139,None,21
140,G#m/B,317
141,DM/Eb,3
142,F#o/B,9
143,C#7/Eb,1
144,Gsus2,50
145,C#m7,2
146,F+/C#,9
147,F#o/Bb,6
148,F#o,7
149,G#m7/B,16
150,Bm7,111
151,G#o/F#,6
152,F#sus2/G#,37
153,F+,3
154,F#o/C,3
155,G#sus2,25
156,G7,4
157,Ebo/F#,3
158,Bb+,5
159,G#sus2/Bb,8
160,Bbsus4,7
161,C#o,25
162,G#m7/F#,33
163,F#m7/G#,6
164,A7/G,1
165,Ebm7/C#,2
166,Cm,251
167,FM7,50
168,F#m7,11
169,Fsus2,152
170,F#sus2/F,6
171,Bm7/A,204
172,A+/F#,2
173,G#o/C,1
174,Am7,32
175,Co/D,3
176,CM7,6
177,Fo/F#,3
178,B7,79
179,Co/Eb,16
180,F#m/B,1
181,Em,211
182,Em/G,9
183,Fsus2/E,5
184,Ebo/A,140
185,Dm,552
186,Am,681
187,Dm/F,69
188,D+/Bb,95
189,Am7/G,12
190,Dm/E,44
191,Co/F#,34
192,Bbo/G#,23
193,G#7,27
194,G#m7,37
195,F#7,136
196,Eo/F#,36
197,BM/F#,157
198,Eb+,82
199,Esus2/F#,26
200,Eo,36
201,E7/D,4
202,Bo/F,13
203,F#m7/C#,43
204,Em/F,9
205,Em7/D,8
206,Fsus2/G,31
207,Do/F,15
208,DM/G,4
209,FM7/C,7
210,Dsus2/E,124
211,Ebm/E,3
212,Dm/A,82
213,CM/E,194
214,Am/C,111
215,C+/E,26
216,Bbo/C#,6
217,C#o/G,50
218,EM7/Eb,4
219,Dm7/A,9
220,Ao,48
221,Dm7/C,15
222,C#m/F#,1
223,C#o/E,11
224,CM/D,11
225,Gm7/F,32
226,C#+/G,2
227,Asus2/G,4
228,Ao/C,5
229,GM/A,1
230,G#+/E,4
231,Esus2/Eb,9
232,Fm/F#,1
233,Dm/Eb,2
234,Bsus4/F#,11
235,AM7/E,2
236,BbM/D,55
237,D+/B,2
238,Esus2/F,1
239,Em7,35
240,EbM/F,3
241,G#o,10
242,B7/Bb,1
243,Go/Bb,6
244,Bbsus2/C,7
245,Ao/Bb,1
246,G#sus4,2
247,F#M/F,1
248,EM7,135
249,Gm7/D,10
250,Ebsus2/E,2
251,Gm7,10
252,Asus2/G#,2
253,Dsus2/C,2
254,Ebsus2/D,1
255,C#m7/B,7
256,AM/G,1
257,G#o/G,1
258,DM/F,1
259,Bsus2/A,1
260,Csus4,4
261,EM/F#,2
262,EM/A,40
263,Asus4,45
264,F#m7/A,5
265,Ao/B,88
266,Gm,99
267,Ebo/E,26
268,Bbo7,20
269,C#o/B,1
270,GM7/B,10
271,F7/A,40
272,Bm7/F#,20
273,E+/A,1
274,F#+/D,22
275,AM/D,6
276,DM/E,2
277,Esus4,31
278,Bo/A,8
279,DM7/A,1
280,G#+/G,2
281,F#M/Bb,2
282,BbM7/A,18
283,Dsus4/A,3
284,C#m7/E,10
285,Ebo/F,3
286,F#+/G#,2
287,GM/B,29
288,E7/G#,13
289,G#m7/Eb,4
290,BM7/Eb,1
291,C#M7,2
292,Eb+/A,1
293,EM7/B,2
294,GM/Bb,1
295,A+/D,1
296,Em/B,5
297,F#7/C#,1
298,F#sus2/E,1
299,GM7/Bb,2
300,G#o/Bb,1
301,B+/G,4
302,Bbo,2
303,BM/C,2
304,EM7/C,1
305,Fm7,5
306,E+/Eb,1
307,Eb+/C#,1
308,Bb/o7,1
309,C#+/B,1
310,Gm7/Bb,2
311,Ebsus4,1
312,G7/F,2
313,BbM7/F,1
314,C+/F#,1
315,BM7/F#,1
316,Em7/B,35
317,Bm/Bb,1
318,Ao7,1
319,CM7/E,1
320,Esus2/C#,1
321,EbM7/D,8
322,G+,1
323,Eo/Bb,4
324,Bbm/E,1
325,BbM7,9
326,G#M7,14
327,Cm7,9
328,AM7/F,1
329,Fo7,1
330,F#7/E,1
331,F#sus4,1
332,Dm7,4
333,G#m7/C,1
334,C#m/D,2
335,C7/E,1
336,B7/Eb,2
337,Dsus4,12
338,Gsus4,18
339,Bb7,4
340,F+/A,1
341,Fsus4,20
342,EbM/G,21
343,A7,9
344,FM/G,1
345,Eb7/G,2
346,EM7/G#,1
347,Am/E,48
348,Dm7/F,2
349,C+/A,1
350,Bm7/D,5
351,Go,10
352,F#sus2/G,1
353,CM/G,40
354,Am7/E,5
355,Am/B,21
356,Bo/E,23
357,Eb+/G,1
358,Csus2/B,2
359,GM/D,9
360,Do/A,1
361,C#M/G,1
362,BM7,1
363,G7/B,1
364,Cm7/Bb,8
365,EbM7/G,1
366,D7/A,2
367,Gm/D,4
368,Eo/A,1
369,Am7/D,1
370,F7/C,2
371,Cm7/G,8
372,Bbsus2,13
373,C7/G,2
374,Cm/D,3
375,Co/Bb,4
376,Co/F,2
377,F#o7,1
378,CM/F,1
379,F#o/F,1
380,E7/B,1
381,Bo7,1
382,D+,3
383,Fm7/G#,6
384,Bbm7,4
385,D+/F#,2
386,Eo/G,2
387,FM/Bb,1
388,Fo/Bb,3
389,Ebm/Bb,1
390,Ebo/Bb,1
391,FM7/A,1
392,D7/C,3
393,G+/B,1
394,Fo/G,1
395,Csus4/G,3
396,Fm/C,4
397,Eb+/G#,1
398,Cm/G,9
399,Cm/F,1
400,Bb7/G#,1
401,EbM7/Bb,1
402,C#M7/F,1
403,Fm7/C,2
404,Bbm7/F,1
405,E+/C,1
