,composer_name,canonical_name,fastest_intervals,number_of_notes
0,Alban Berg,Sonata Op. 1,"(375, 390.0)",233
1,Alban Berg,Sonata Op. 1,"(644, 659.0)",197
2,Alban Berg,Sonata Op. 1,"(375, 390.0)",224
3,Alexander Scriabin,"24 Preludes Op. 11, No. 13-24","(849, 864.0)",387
4,Alexander Scriabin,"Etude Op. 2 No.1;  Etudes Op. 8, Nos. 5, 11 and 12","(532, 547.0)",375
5,Alexander Scriabin,"Etude in D-flat Major, Op. 8 No. 10","(65, 80.0)",403
6,Alexander Scriabin,Etudes from Op.8,"(1, 16.0)",341
7,Alexander Scriabin,Fantasy Op. 28 in B Minor,"(326, 341.0)",339
8,Alexander Scriabin,"Fantasy in B Minor, Op. 28","(287, 302.0)",434
9,Alexander Scriabin,"Fantasy, Op. 28","(259, 274.0)",367
10,Alexander Scriabin,"Prelude and Nocturne for Left Hand, Op. 9","(259, 274.0)",151
11,Alexander Scriabin,Sonata No. 2,"(453, 468.0)",272
12,Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19","(260, 275.0)",337
13,Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19","(247, 262.0)",298
14,Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19 (Complete)","(249, 264.0)",314
15,Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23","(491, 506.0)",259
16,Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23","(496, 511.0)",274
17,Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23","(1032, 1047.0)",285
18,Alexander Scriabin,"Sonata No. 5 in F-sharp Minor, Op. 53","(99, 114.0)",431
19,Alexander Scriabin,"Sonata No. 5, Op. 53","(102, 117.0)",389
20,Alexander Scriabin,"Sonata No. 5, Op. 53","(685, 700.0)",404
21,Alexander Scriabin,"Sonata No. 5, Op. 53","(620, 635.0)",369
22,Alexander Scriabin,"Sonata No. 5, Op. 53","(584, 599.0)",449
23,Alexander Scriabin,"Sonata No. 5, Op. 53","(689, 704.0)",429
24,Alexander Scriabin,"Sonata No. 5, Op. 53","(589, 604.0)",440
25,Antonio Soler,Sonata No. 10 in B Minor,"(207, 222.0)",325
26,Carl Maria von Weber,"Sonata No. 1, 2nd, 3rd and 4th movements","(895, 910.0)",400
27,Charles Gounod / Franz Liszt,Faust Waltz,"(541, 556.0)",430
28,Claude Debussy,"""Feux d'artifice"" from Book II","(176, 191.0)",306
29,Claude Debussy,"""Images"", Series I","(751, 766.0)",277
30,Claude Debussy,"""Les collines d'Anacapri"" from Preludes, Book I","(135, 150.0)",253
31,Claude Debussy,"""Ondine"" from Book II","(130, 145.0)",233
32,Claude Debussy,"""Voiles"" from Preludes, Book I","(111, 126.0)",164
33,Claude Debussy,"Barcarolle, Op. 60","(386, 401.0)",317
34,Claude Debussy,Bruyeres,"(675, 690.0)",365
35,Claude Debussy,"Etude ""Pour le arpeges composes""","(79, 94.0)",185
36,Claude Debussy,"Etude ""Pour les huit doigts""","(75, 90.0)",291
37,Claude Debussy,"Etude No. 6, Book I, ""Pour les huits doigts""","(63, 78.0)",329
38,Claude Debussy,Feux d'artifice,"(163, 178.0)",296
39,Claude Debussy,Four Preludes,"(604, 619.0)",377
40,Claude Debussy,Image (Book II),"(642, 657.0)",365
41,Claude Debussy,"Images Book 1 (Complete), L 110","(723, 738.0)",305
42,Claude Debussy,Images Book II,"(617, 632.0)",390
43,Claude Debussy,"Images, Book I","(884, 899.0)",326
44,Claude Debussy,"Images, Book I, ""Reflets dans l'eau""","(124, 139.0)",227
45,Claude Debussy,"Images, Book II","(767, 782.0)",344
46,Claude Debussy,"Images, Book II, ""Poissons d'or""","(144, 159.0)",338
47,Claude Debussy,L'Isle Joyeuse,"(313, 328.0)",388
48,Claude Debussy,L'isle joyeuse,"(308, 323.0)",315
49,Claude Debussy,L'isle joyeuse,"(283, 298.0)",335
50,Claude Debussy,L'isle joyeuse,"(334, 349.0)",349
51,Claude Debussy,L'isle joyeuse,"(330, 345.0)",310
52,Claude Debussy,"L'isle joyeuse, L. 106","(334, 349.0)",326
53,Claude Debussy,Les Collines d'Anacapri from Book I,"(143, 158.0)",230
54,Claude Debussy,"Prelude No. 24 ""Fireworks""","(99, 114.0)",324
55,Claude Debussy,"Prelude No. 7, Book II, La terrasse des audiences du clair de lune","(159, 174.0)",172
56,Claude Debussy,"Preludes Book II: “Feux d'artifice,” L 123, No. 12","(88, 103.0)",327
57,Claude Debussy,"Preludes No. 2, 6, 12","(296, 311.0)",151
58,Claude Debussy,"Preludes No. 2, 6, 12","(87, 102.0)",323
59,Claude Debussy,"Preludes, Book II, III - La puerta del vino","(61, 76.0)",165
60,Claude Debussy,"Preludes, Book II, L 123 (Complete)","(2031, 2046.0)",354
61,Claude Debussy,"Preludes, Book II, L 123, IV. «Les fées sont d'exquises danseuses»","(1, 16.0)",248
62,Claude Debussy,"Preludes, Book II, VII - La terasse des audiences du clair de lune","(92, 107.0)",179
63,Claude Debussy,PreludesBII/7-12,"(1016, 1031.0)",354
64,Claude Debussy,Three Etudes,"(278, 293.0)",274
65,César Franck,"Prelude, Fugue et Variation, Op. 18, Arrangement Delle Vigne","(550, 565.0)",213
66,César Franck,"Prélude, chorale, et fugue, M. 21","(620, 635.0)",169
67,Domenico Scarlatti,Sonata K. 466,"(100, 115.0)",187
68,Domenico Scarlatti,"Sonata in B Minor, K. 197","(230, 245.0)",115
69,Domenico Scarlatti,"Sonata in B Minor, K. 27","(25, 40.0)",174
70,Domenico Scarlatti,"Sonata in B Minor, K. 87","(219, 234.0)",100
71,Domenico Scarlatti,"Sonata in B Minor, K. 87","(256, 271.0)",110
72,Domenico Scarlatti,"Sonata in B Minor, L. 33","(104, 119.0)",107
73,Domenico Scarlatti,"Sonata in C Major, K. 179","(55, 70.0)",263
74,Domenico Scarlatti,"Sonata in C Major, K. 513","(152, 167.0)",227
75,Domenico Scarlatti,"Sonata in C Minor, K. 84","(57, 72.0)",200
76,Domenico Scarlatti,"Sonata in D Major, K. 119","(96, 111.0)",357
77,Domenico Scarlatti,"Sonata in D Major, K. 145","(22, 37.0)",191
78,Domenico Scarlatti,"Sonata in D Major, K. 430","(87, 102.0)",165
79,Domenico Scarlatti,"Sonata in D Major, K. 576","(244, 259.0)",236
80,Domenico Scarlatti,"Sonata in D Minor, K. 1","(4, 19.0)",219
81,Domenico Scarlatti,"Sonata in D Minor, K. 141","(104, 119.0)",348
82,Domenico Scarlatti,"Sonata in D Minor, K. 141","(104, 119.0)",340
83,Domenico Scarlatti,"Sonata in G Major, K. 146","(91, 106.0)",175
84,Domenico Scarlatti,"Sonata in G Major, K. 455","(69, 84.0)",225
85,Edvard Grieg,"Lyric Piece in A Minor, “Waltz,” Op. 12 No. 2","(72, 87.0)",130
86,Edvard Grieg,"Lyric Piece in E Minor, “Valse-Impromptu,” Op. 47 No.1","(121, 136.0)",188
87,Edvard Grieg,"Lyric Piece in E Minor, “Waltz,” Op. 38 No. 7","(26, 41.0)",122
88,Felix Mendelssohn,Variations Serieuses Op. 54,"(666, 681.0)",401
89,Felix Mendelssohn,Variations Serieuses Op. 54,"(630, 645.0)",392
90,Felix Mendelssohn,Variations Serieuses Op. 54,"(652, 667.0)",385
91,Felix Mendelssohn,Variations Serieuses Op. 54,"(567, 582.0)",456
92,Felix Mendelssohn,Variations Serieuses Op. 54,"(576, 591.0)",406
93,Felix Mendelssohn,"Variations Serieuses, Op. 54","(598, 613.0)",433
94,Felix Mendelssohn,"Variations Serieuses, Op. 54","(604, 619.0)",455
95,Felix Mendelssohn,"Variations Serieuses, Op. 54","(673, 688.0)",375
96,Felix Mendelssohn,"Variations Serieuses, Op. 54","(612, 627.0)",410
97,Felix Mendelssohn,"Variations Serieuses, Op. 54","(612, 627.0)",414
98,Felix Mendelssohn,"Variations Serieuses, Op. 54","(564, 579.0)",470
99,Felix Mendelssohn,"Variations Serieuses, Op. 54","(630, 645.0)",419
100,Felix Mendelssohn,"Variations Serieuses, Op. 54","(563, 578.0)",430
101,Felix Mendelssohn,"Variations Serieuses, Op. 54","(590, 605.0)",439
102,Felix Mendelssohn,"Variations Serieuses, Op. 54","(674, 689.0)",382
103,Felix Mendelssohn,"Variations Serieuses, Op. 54","(625, 640.0)",372
104,Felix Mendelssohn,"Variations Serieuses, Op. 54","(598, 613.0)",394
105,Felix Mendelssohn,"Variations Serieuses, Op. 54","(591, 606.0)",404
106,Felix Mendelssohn,"Variations Serieuses, Op. 54","(641, 656.0)",393
107,Felix Mendelssohn,"Variations Seriouses, Op. 54","(627, 642.0)",440
108,Felix Mendelssohn,"Variations serieuses, Op. 54","(654, 669.0)",424
109,Felix Mendelssohn,"Variations sérieuses, Op. 54","(588, 603.0)",500
110,Felix Mendelssohn,"Variations sérieuses, Op. 54","(597, 612.0)",409
111,Felix Mendelssohn,"Variations sérieuses, Op. 54","(648, 663.0)",388
112,Felix Mendelssohn / Sergei Rachmaninoff,Scherzo,"(110, 125.0)",311
113,Felix Mendelssohn / Sergei Rachmaninoff,Scherzo from A Midsummer Night's Dream,"(11, 26.0)",318
114,Felix Mendelssohn / Sergei Rachmaninoff,"Scherzo from Mendelssohn's ""Midsummer Night's Dream""","(107, 122.0)",339
115,Franz Liszt,"""La Campanella""","(249, 264.0)",450
116,Franz Liszt,"""La Campanella""","(245, 260.0)",477
117,Franz Liszt,"""La Campanella""","(244, 259.0)",599
118,Franz Liszt,Annes de Pelerinage III: Le jeux d'eau a la Villa d'Este,"(23, 38.0)",452
119,Franz Liszt,"Après une lecture de Dante: Fantasia quasi Sonata, S.161, No. 7","(932, 947.0)",456
120,Franz Liszt,"Aprés une lecture de Dante: Fantasia quasi Sonata, S.161, No. 7","(838, 853.0)",456
121,Franz Liszt,"Ballade No. 2 in B Minor, S 171","(444, 459.0)",422
122,Franz Liszt,"Ballade No. 2 in B Minor, S 171","(430, 445.0)",441
123,Franz Liszt,"Ballade No. 2 in B Minor, S. 171","(496, 511.0)",537
124,Franz Liszt,"Ballade No. 2 in B Minor, S. 171","(477, 492.0)",490
