,record_number,chord_name,chord_count,title,composer,year
0,1,B-minor triad,62,Sonata Op. 1,Alban Berg,2018
1,2,B-minor triad,137,Sonata Op. 1,Alban Berg,2008
2,3,E-minor trichord,40,Sonata Op. 1,Alban Berg,2017
3,4,D-minor triad,57,"24 Preludes Op. 11, No. 13-24",Alexander Scriabin,2004
4,5,enharmonic equivalent to minor triad above Bb,72,"Etude Op. 2 No.1;  Etudes Op. 8, Nos. 5, 11 and 12",Alexander Scriabin,2013
5,6,enharmonic equivalent to major triad above F,50,"Etude in D-flat Major, Op. 8 No. 10",Alexander Scriabin,2011
6,7,enharmonic equivalent to major triad above Bb,84,Etudes from Op.8,Alexander Scriabin,2006
7,8,enharmonic equivalent to major triad above B,79,Fantasy Op. 28 in B Minor,Alexander Scriabin,2013
8,9,enharmonic equivalent to major triad above F#,71,"Fantasy in B Minor, Op. 28",Alexander Scriabin,2011
9,10,enharmonic equivalent to major triad above B,110,"Fantasy, Op. 28",Alexander Scriabin,2014
10,11,F#-incomplete dominant-seventh chord,11,"Prelude and Nocturne for Left Hand, Op. 9",Alexander Scriabin,2008
11,12,enharmonic equivalent to minor triad above B,40,Sonata No. 2,Alexander Scriabin,2006
12,13,enharmonic equivalent to minor triad above G#,22,"Sonata No. 2 in G-sharp Minor, Op. 19",Alexander Scriabin,2018
13,14,enharmonic equivalent to minor triad above B,19,"Sonata No. 2 in G-sharp Minor, Op. 19",Alexander Scriabin,2018
14,15,enharmonic equivalent to minor triad above B,27,"Sonata No. 2 in G-sharp Minor, Op. 19 (Complete)",Alexander Scriabin,2017
15,16,A-incomplete major-seventh chord,56,"Sonata No. 3 in F-sharp Minor, Op. 23",Alexander Scriabin,2018
16,17,F#-minor triad,65,"Sonata No. 3 in F-sharp Minor, Op. 23",Alexander Scriabin,2018
17,18,F#-minor triad,62,"Sonata No. 3 in F-sharp Minor, Op. 23",Alexander Scriabin,2018
18,19,Eb-incomplete major-seventh chord,247,"Sonata No. 5 in F-sharp Minor, Op. 53",Alexander Scriabin,2004
19,20,G#-tritone-fourth,254,"Sonata No. 5, Op. 53",Alexander Scriabin,2018
20,21,F-augmented triad,231,"Sonata No. 5, Op. 53",Alexander Scriabin,2009
21,22,A-whole-tone trichord,248,"Sonata No. 5, Op. 53",Alexander Scriabin,2009
22,23,F#-minor-ninth chord,222,"Sonata No. 5, Op. 53",Alexander Scriabin,2008
23,24,C#-center-cluster pentachord,292,"Sonata No. 5, Op. 53",Alexander Scriabin,2014
24,25,F#-minor triad,302,"Sonata No. 5, Op. 53",Alexander Scriabin,2014
25,26,F#-incomplete dominant-seventh chord,32,Sonata No. 10 in B Minor,Antonio Soler,2009
26,27,C-major triad,294,"Sonata No. 1, 2nd, 3rd and 4th movements",Carl Maria von Weber,2008
27,28,D-major triad,139,Faust Waltz,Charles Gounod / Franz Liszt,2006
28,29,E-incomplete half-diminished seventh chord,29,"""Feux d'artifice"" from Book II",Claude Debussy,2008
29,30,C-quartal trichord,84,"""Images"", Series I",Claude Debussy,2013
30,31,A-whole-tone trichord,13,"""Les collines d'Anacapri"" from Preludes, Book I",Claude Debussy,2008
