,composer,title,count
0,Alexander Scriabin,"Entragete, Op.63",49
1,Alexander Scriabin,"Etude Op. 42, Nos. 4 & 5",85
2,Alexander Scriabin,Sonata No. 9,203
3,Alexander Scriabin,Sonata No. 9,47
4,Alexander Scriabin,"Sonata No. 9, Op. 68",149
5,Alexander Scriabin,"Sonata No. 9, Op. 68, ""Black Mass""",172
6,Claude Debussy,Estampes (Complete),181
7,Claude Debussy,"Etude ""Pour les accords""",236
8,Claude Debussy,"Etude No. 7 ""Study in Chromatic Steps""",193
9,Claude Debussy,Jardins sous la pluie from Estampes,189
10,Claude Debussy,Pagodas from Estampes No. 1,131
11,Claude Debussy,Pour le piano (Complete),224
12,Claude Debussy,"Prelude No. 6, Book I, ""Des pas sur la neige""",17
13,Claude Debussy,SuiteBergamasque,152
14,Domenico Scarlatti,Sonata K. 525,180
15,Domenico Scarlatti,Sonata K. 54,81
16,Domenico Scarlatti,"Sonata in A Major, K. 208",30
17,Domenico Scarlatti,"Sonata in C Major, K. 132",83
18,Domenico Scarlatti,"Sonata in D Major, K. 118",79
19,Domenico Scarlatti,"Sonata in D Major, K. 96 L. 465",158
20,Domenico Scarlatti,"Sonata in D Major, K96",156
21,Domenico Scarlatti,"Sonata in D Minor, K. 213",74
22,Domenico Scarlatti,"Sonata in D Minor, K. 9",139
23,Domenico Scarlatti,"Sonata in D Minor, K. 9 L. 413",138
24,Domenico Scarlatti,"Sonata in F Minor, K. 466",69
25,Domenico Scarlatti,"Sonata, K239",129
26,Domenico Scarlatti,Two Sonatas,186
27,Felix Mendelssohn,"Fantasy in F-sharp Minor, Op. 28 (Complete)",266
28,Franz Liszt,Au bord d'une source,216
29,Franz Liszt,"Concert Etude ""Gnomenreigen""",357
30,Franz Liszt,"Concert Etude ""Waldesrauschen""",110
31,Franz Liszt,"Concert Etude ""Waldesrauschen""",114
32,Franz Liszt,"Concert Etude No. 2 ""Gnomenreigen""",189
33,Franz Liszt,"Concert Etude No. 2, ""Gnomenreigen"", S. 145/2",239
34,Franz Liszt,Hungarian Rhapsody No. 9,296
35,Franz Liszt,"Hungarian Rhapsody No. 9 in E-flat Major, S. 244",55
36,Franz Liszt,Rem. of Don Juan,335
37,Franz Liszt,"Réminiscences de Don Juan, S.418",365
38,Franz Liszt,Transcendental Etude No. 10 in F Minor,174
39,Franz Liszt,"Transcendental Etude No. 10 in F Minor ""Appassionata""",168
40,Franz Liszt,"Transcendental Etude No. 10 in F Minor, S. 139/10",196
41,Franz Liszt,"Transcendental Etude No. 11 ""Harmonies du Soir""",416
42,Franz Liszt,"Transcendental Etude No. 3 ""Paysage""",138
43,Franz Liszt,"Transcendental Etude No. 8 ""Wilde Jagd""",291
44,Franz Liszt,"Transcendental Etude No. 8 ""Wilde Jagd""",384
45,Franz Liszt,"Transcendental Etude No. 8, ""Wilde Jagd"", S. 139/8",177
46,Franz Liszt,"Tristan and Isolde - Liebestod, S.447",226
47,Franz Liszt,"Études d'exécution transcendante, No. 10 in F Minor, S.139/10",142
48,Franz Schubert,"""Erlkoenig""",275
49,Franz Schubert,"""Gretchen am Spinnrade""",254
50,Franz Schubert,"Fantasia in C Major, ""Wanderer"", D. 760",332
51,Franz Schubert,"Impromptu Op. 142 No. 4 in F Minor, D. 935",14
52,Franz Schubert,"Impromptu Op. 142 No. 4, in F Minor, D935",18
